id_exp,seed,step,network_topology,population_size,nb_strg_arg,adding_cycle,population_with_added_arg,population_with_attacked_arg,polarisation,mean_intention,rate_adoption
5,0.12102242956410414,650,regular,100,1,50,2,82,0.030256806501907433,0.3247809167529403,0.32
7,0.9735700710045174,650,regular,100,1,50,97,3,0.03506948018098979,0.17314045421381902,0.26
4,0.5021955782306821,700,regular,100,1,50,100,0,0.029115975612915422,0.1991709799384505,0.26
7,0.9735700710045174,700,regular,100,1,50,97,3,0.034449034977496185,0.16627280736270633,0.26
6,0.6359738715854387,700,regular,100,1,50,100,2,0.02328685742711728,0.23262466287699812,0.31
5,0.12102242956410414,700,regular,100,1,50,2,86,0.031191104787138615,0.32407018528600373,0.32
6,0.6359738715854387,750,regular,100,1,50,100,2,0.02328135412042973,0.23464438150904074,0.31
7,0.9735700710045174,750,regular,100,1,50,97,3,0.0363498386444095,0.169802608873637,0.26
5,0.12102242956410414,750,regular,100,1,50,2,88,0.030998486493204865,0.32431989905685754,0.32
4,0.5021955782306821,750,regular,100,1,50,100,0,0.029393172227181335,0.20150918371693394,0.26
4,0.5021955782306821,800,regular,100,1,50,100,0,0.029910427914303088,0.20035362587639102,0.26
5,0.12102242956410414,800,regular,100,1,50,2,88,0.03159890638775514,0.32605070872803815,0.32
6,0.6359738715854387,800,regular,100,1,50,100,2,0.023024810067189275,0.23472902657956227,0.31
7,0.9735700710045174,800,regular,100,1,50,97,3,0.034457331730705296,0.16970705192576546,0.26
7,0.9735700710045174,850,regular,100,1,50,97,3,0.036316227604940896,0.16937478008135035,0.26
4,0.5021955782306821,850,regular,100,1,50,100,0,0.029642884769256216,0.20180020216609598,0.26
5,0.12102242956410414,850,regular,100,1,50,2,86,0.03121174012562692,0.32561330860678384,0.32
6,0.6359738715854387,850,regular,100,1,50,100,2,0.022478332975528856,0.23326790616504245,0.31
6,0.6359738715854387,900,regular,100,1,50,100,2,0.02307822917739297,0.23346210240254306,0.31
